date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
11/12/2009;25.0;36.0;0.0;0.0;0.0;3.36;290;12.08;290;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16/12/2009;28.9;48.9;0.0;0.0;0.0;2.91;10;10.07;350;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
17/12/2009;28.0;45.0;0.0;0.0;0.0;2.01;50;10.07;20;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
21/12/2009;24.1;48.9;0.0;0.0;0.0;2.24;240;14.09;270;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23/12/2009;25.0;53.1;0.0;0.0;0.0;0.45;50;6.04;160;10.07;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07/01/2010;19.9;48.0;0.0;0.0;0.0;5.37;210;12.97;230;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
08/01/2010;21.9;42.1;0.05;0.0;0.0;8.95;240;23.04;230;33.11;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No
10/01/2010;19.0;37.0;0.0;0.0;0.0;2.46;30;12.08;30;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14/01/2010;23.0;57.0;0.0;0.0;0.0;3.58;220;8.95;220;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19/01/2010;35.1;66.0;0.0;0.0;0.0;1.79;240;12.08;230;14.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16/02/2010;27.0;41.0;0.0;0.0;0.0;7.61;240;17.9;230;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20/02/2010;23.0;59.0;0.0;0.0;0.0;2.46;280;12.08;290;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
22/02/2010;36.0;52.0;0.29;0.0;0.0;2.46;110;16.11;110;19.91;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No
02/03/2010;33.1;42.1;0.29;0.2;0.0;9.62;50;19.91;10;25.95;Yes;No;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No
09/03/2010;35.1;73.0;0.0;0.0;0.0;2.01;230;14.09;220;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16/03/2010;39.0;52.0;0.0;0.0;0.0;4.7;20;14.09;30;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20/03/2010;39.9;78.1;0.0;0.0;0.0;5.59;220;17.0;210;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02/04/2010;54.0;88.0;0.0;0.0;0.0;4.7;200;14.09;240;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04/04/2010;57.9;82.9;0.0;0.0;0.0;3.58;220;12.97;230;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
06/04/2010;62.1;90.0;0.0;0.0;0.0;10.29;230;23.04;230;29.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14/04/2010;41.0;57.0;0.0;0.0;0.0;7.61;50;16.11;50;23.94;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02/05/2010;72.0;91.9;0.0;0.0;0.0;13.87;230;23.94;230;33.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10/05/2010;42.1;68.0;0.0;0.0;0.0;4.47;80;16.11;70;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14/05/2010;64.9;93.9;0.0;0.0;0.0;7.61;240;14.99;240;21.03;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No
16/05/2010;66.9;82.0;0.12;0.0;0.0;4.92;120;14.99;120;19.91;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No
20/05/2010;57.9;79.0;0.0;0.0;0.0;2.68;30;8.95;40;14.09;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
26/05/2010;62.1;82.9;0.0;0.0;0.0;5.82;50;16.11;50;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
28/05/2010;64.0;87.1;0.41;0.0;0.0;6.71;230;25.05;220;31.09;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
01/06/2010;69.1;84.9;0.29;0.0;0.0;6.49;160;19.91;170;23.04;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
02/06/2010;71.1;88.0;0.01;0.0;0.0;4.7;140;12.97;140;17.0;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No
14/06/2010;71.1;93.0;0.0;0.0;0.0;3.8;270;12.97;240;19.91;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
15/06/2010;72.0;93.9;0.01;0.0;0.0;2.46;230;14.99;220;17.0;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
25/06/2010;77.0;93.9;0.0;0.0;0.0;4.47;190;14.09;190;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
27/06/2010;73.0;100.9;0.0;0.0;0.0;8.05;230;17.9;230;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20/07/2010;73.0;98.1;0.64;0.0;0.0;7.61;280;29.97;280;44.96;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
21/07/2010;75.0;97.0;0.0;0.0;0.0;7.83;230;17.0;260;29.08;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
24/07/2010;79.0;100.0;0.0;0.0;0.0;9.62;230;17.9;240;25.95;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
28/07/2010;73.9;93.9;0.0;0.0;0.0;5.14;250;12.97;220;16.11;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30/07/2010;73.0;89.1;0.0;0.0;0.0;5.59;60;14.09;30;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
31/07/2010;64.0;78.1;0.12;0.0;0.0;2.91;100;10.07;110;16.11;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
03/08/2010;71.1;91.0;0.0;0.0;0.0;3.8;190;10.07;150;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14/08/2010;73.9;88.0;0.0;0.0;0.0;7.61;90;14.09;90;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/08/2010;75.0;96.1;0.1;0.0;0.0;6.49;240;19.91;230;27.96;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
21/08/2010;66.9;90.0;0.0;0.0;0.0;3.36;130;12.97;140;19.91;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No
23/08/2010;72.0;89.1;0.0;0.0;0.0;4.25;100;16.11;70;21.03;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
28/08/2010;70.0;90.0;0.0;0.0;0.0;2.68;50;12.97;110;19.91;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No
31/08/2010;64.9;97.0;0.0;0.0;0.0;2.24;50;10.07;30;16.11;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
08/09/2010;71.1;91.0;0.0;0.0;0.0;8.95;280;17.9;270;23.94;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
10/09/2010;57.9;88.0;0.0;0.0;0.0;5.37;30;14.09;10;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12/09/2010;64.9;88.0;0.03;0.0;0.0;3.8;290;12.97;340;21.92;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
13/09/2010;63.0;87.1;0.0;0.0;0.0;3.58;60;16.11;50;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
14/09/2010;60.1;96.1;0.0;0.0;0.0;4.03;280;16.11;280;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19/09/2010;60.1;93.0;0.0;0.0;0.0;2.01;80;10.07;130;14.99;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20/09/2010;64.0;93.0;0.0;0.0;0.0;4.7;50;14.09;30;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
22/09/2010;70.0;96.1;0.0;0.0;0.0;8.5;240;17.9;230;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23/09/2010;71.1;99.0;0.0;0.0;0.0;6.71;220;14.99;220;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24/09/2010;70.0;96.1;0.0;0.0;0.0;7.83;170;14.99;230;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30/09/2010;68.0;77.0;1.84;0.0;0.0;7.83;160;21.92;170;31.09;Yes;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No
05/10/2010;46.9;69.1;0.0;0.0;0.0;4.03;290;14.99;310;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07/10/2010;46.9;82.0;0.0;0.0;0.0;5.59;260;17.9;270;25.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12/10/2010;57.0;88.0;0.0;0.0;0.0;3.8;230;14.09;240;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
20/10/2010;52.0;64.9;0.1;0.0;0.0;2.24;40;8.05;50;12.08;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;No
22/10/2010;43.0;68.0;0.0;0.0;0.0;2.91;290;10.07;330;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24/10/2010;46.9;78.1;0.0;0.0;0.0;5.82;230;16.11;230;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30/10/2010;36.0;64.9;0.0;0.0;0.0;5.82;220;17.0;250;19.91;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01/11/2010;46.0;63.0;0.0;0.0;0.0;8.5;50;16.11;50;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03/11/2010;45.0;55.9;0.02;0.0;0.0;4.03;40;10.07;40;12.97;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
11/11/2010;39.9;66.0;0.0;0.0;0.0;4.03;40;14.99;40;31.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
15/11/2010;39.9;70.0;0.0;0.0;0.0;1.79;230;8.05;150;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16/11/2010;54.0;66.9;0.38;0.0;0.0;8.28;250;25.05;280;36.91;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
17/11/2010;39.9;64.9;0.09;0.0;0.0;7.16;240;31.09;250;42.95;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
24/11/2010;46.0;63.0;0.0;0.0;0.0;5.14;80;12.08;120;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
09/12/2010;19.9;42.1;0.0;0.0;0.0;2.24;350;8.05;300;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12/12/2010;36.0;52.0;0.4;0.0;0.0;7.61;190;21.03;240;29.97;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;Yes;No;No
14/12/2010;16.0;35.1;0.0;0.0;0.0;10.07;280;17.9;300;31.09;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
24/12/2010;21.9;46.9;0.0;0.0;0.0;0.89;350;8.95;340;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
31/12/2010;28.9;61.0;0.0;0.0;0.0;2.91;230;14.09;240;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05/01/2011;26.1;46.0;0.0;0.0;0.0;0.67;150;6.04;20;8.95;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
09/01/2011;19.0;35.1;0.0;0.0;0.0;4.03;330;12.97;300;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/01/2011;32.0;46.9;0.0;0.0;0.0;4.7;20;12.97;10;21.92;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
21/01/2011;28.0;46.9;0.0;0.0;0.0;7.16;300;17.9;290;31.99;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
22/01/2011;17.1;32.0;0.0;0.0;0.0;5.82;50;14.09;40;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
26/01/2011;37.9;43.0;0.37;0.0;0.0;6.26;280;14.99;290;25.05;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
27/01/2011;28.0;48.0;0.0;0.0;0.0;2.68;240;12.08;240;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
28/01/2011;28.0;55.9;0.0;0.0;0.0;4.47;270;17.0;270;23.94;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
01/02/2011;34.0;53.1;0.0;0.0;0.0;4.47;160;8.95;160;14.09;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
05/02/2011;35.1;48.9;0.92;0.0;0.0;8.05;230;21.03;230;25.95;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
06/02/2011;30.0;54.0;0.0;0.0;0.0;2.01;240;8.95;220;12.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
16/02/2011;34.0;63.0;0.0;0.0;0.0;5.37;230;17.9;230;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/02/2011;52.0;78.1;0.0;0.0;0.0;10.74;230;17.9;280;23.04;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
16/03/2011;46.9;64.0;0.05;0.0;0.0;2.91;270;10.07;300;14.09;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
19/03/2011;55.9;75.0;0.0;0.0;0.0;5.82;40;17.9;50;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
30/03/2011;39.9;48.0;1.05;0.0;0.0;7.83;100;21.92;100;29.08;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
01/04/2011;37.9;55.0;0.0;0.0;0.0;6.26;280;17.9;290;29.97;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02/04/2011;37.0;64.9;0.0;0.0;0.0;8.95;270;27.96;280;42.95;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
10/04/2011;52.0;72.0;0.0;0.0;0.0;3.8;210;8.95;200;14.09;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No
12/04/2011;57.0;73.0;0.0;0.0;0.0;12.3;220;31.99;200;40.04;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
13/04/2011;46.9;72.0;0.0;0.0;0.0;5.14;290;14.09;270;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
19/04/2011;55.9;84.9;0.0;0.0;0.0;11.18;230;21.03;190;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
24/04/2011;62.1;87.1;0.0;0.0;0.0;11.18;230;21.92;210;25.95;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
21/01/2007;28.0;35.1;0.8;0.0;0.0;5.82;90;12.97;90;17.0;Yes;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No
05/02/2007;19.9;39.9;0.0;0.0;0.0;7.83;270;17.9;280;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
09/02/2007;21.9;42.1;0.0;0.0;0.0;3.36;360;14.09;10;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04/03/2007;34.0;50.0;0.0;0.0;0.0;6.93;280;17.0;280;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05/03/2007;26.1;64.0;0.0;0.0;0.0;8.5;240;21.92;240;29.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
17/03/2007;33.1;48.9;0.0;0.0;0.0;7.38;330;19.91;330;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/03/2007;28.0;48.9;0.0;0.0;0.0;4.25;240;14.09;350;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
15/07/2007;66.9;90.0;0.0;0.0;0.0;7.38;230;14.99;230;17.9;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
22/07/2007;57.9;84.9;0.0;0.0;0.0;5.14;50;17.9;50;23.04;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29/07/2007;66.9;89.1;0.0;0.0;0.0;4.25;160;16.11;150;19.91;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No
09/08/2007;78.1;104.0;0.0;0.0;0.0;4.25;120;23.04;90;25.95;Yes;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No
20/08/2007;75.0;102.9;0.0;0.0;0.0;10.51;230;19.91;230;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29/08/2007;73.0;93.0;0.0;0.0;0.0;6.49;100;12.08;150;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
05/09/2007;66.0;96.1;0.0;0.0;0.0;4.25;170;10.07;170;17.9;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
23/09/2007;66.0;91.9;0.0;0.0;0.0;4.47;110;12.97;80;17.0;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No
26/09/2007;63.0;89.1;0.0;0.0;0.0;5.82;170;12.08;170;14.99;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
18/10/2007;63.0;84.9;0.04;0.0;0.0;5.14;230;12.97;170;16.11;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
31/10/2007;37.9;73.9;0.0;0.0;0.0;1.79;140;8.95;170;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
07/11/2007;30.0;55.0;0.0;0.0;0.0;3.8;40;12.97;20;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29/11/2007;36.0;63.0;0.0;0.0;0.0;3.36;260;12.08;230;14.09;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02/12/2007;33.1;54.0;0.0;0.0;0.0;5.82;230;14.99;220;17.9;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
04/12/2007;36.0;45.0;0.0;0.0;0.0;5.82;270;16.11;280;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
13/12/2007;54.0;75.9;0.01;0.0;0.0;9.17;220;23.94;230;29.08;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No
17/12/2007;28.0;44.1;0.0;0.0;0.0;6.26;270;14.99;280;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23/12/2007;46.9;66.9;0.16;0.0;0.0;10.74;220;25.05;220;29.97;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
27/12/2007;36.0;57.9;0.0;0.0;0.0;3.58;220;14.09;220;16.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
03/01/2008;19.9;35.1;0.0;0.0;0.0;4.47;330;12.08;310;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
08/01/2008;50.0;73.0;0.0;0.0;0.0;8.5;210;16.11;210;21.03;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
11/01/2008;48.9;68.0;0.0;0.0;0.0;13.42;220;29.97;220;38.03;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
25/01/2008;21.0;39.0;0.0;0.0;0.0;3.8;340;14.09;340;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
29/01/2008;37.0;64.0;0.0;0.0;0.0;13.42;220;23.94;230;27.96;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01/02/2008;36.0;60.1;0.83;0.0;0.0;8.5;330;25.95;210;35.12;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No
06/02/2008;61.0;77.0;0.0;0.0;0.0;19.01;220;33.11;230;40.94;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
07/02/2008;43.0;66.0;0.0;0.0;0.0;8.05;230;25.95;240;31.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
11/02/2008;27.0;46.9;0.0;0.0;0.0;4.92;20;12.08;320;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12/02/2008;30.0;62.1;0.28;0.0;0.0;6.04;240;27.96;240;34.9;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No
18/02/2008;45.0;73.0;0.29;0.0;0.0;14.54;230;31.09;240;36.91;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
19/02/2008;30.9;55.0;0.0;0.0;0.0;8.72;250;23.04;220;31.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
25/02/2008;35.1;61.0;0.01;0.0;0.0;4.25;240;12.08;240;14.99;Yes;No;Yes;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No
28/02/2008;21.9;43.0;0.0;0.0;0.0;5.82;260;17.0;260;21.92;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
01/03/2008;39.9;64.9;0.0;0.0;0.0;9.84;270;21.92;270;29.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
12/03/2008;44.1;68.0;0.0;0.0;0.0;5.14;280;17.0;260;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
25/03/2008;28.9;57.9;0.0;0.0;0.0;6.26;220;17.0;210;21.92;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
02/04/2008;51.1;66.0;0.0;0.0;0.0;9.17;110;17.0;90;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
10/04/2008;48.0;78.1;0.0;0.0;0.0;4.03;170;14.09;170;16.11;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
19/04/2008;54.0;82.0;0.0;0.0;0.0;11.18;170;19.91;180;25.05;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
22/04/2008;55.9;71.1;0.23;0.0;0.0;11.41;40;23.04;30;27.96;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No
24/04/2008;51.1;80.1;0.0;0.0;0.0;2.46;90;12.08;120;16.11;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No
26/04/2008;60.1;87.1;0.0;0.0;0.0;9.62;220;19.91;230;23.04;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
05/05/2008;55.0;73.0;0.0;0.0;0.0;6.71;40;14.99;30;17.9;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
14/05/2008;44.1;73.9;0.0;0.0;0.0;6.26;230;16.11;220;21.92;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
20/05/2008;57.9;82.9;0.43;0.0;0.0;10.51;230;25.05;220;31.99;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No
22/05/2008;48.0;78.1;0.0;0.0;0.0;4.03;230;16.11;280;21.03;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
23/05/2008;52.0;79.0;0.0;0.0;0.0;4.7;70;10.07;100;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
01/06/2008;64.9;91.0;0.14;0.0;0.0;4.92;350;21.92;330;31.09;Yes;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No
